#{"t_start": 1762977699.29812, "env_id": "None"}
r,l,t
-2.2,12,1634.995925
-7.6,6,1635.423916
-3.7,7,1635.898613
-4.6,6,1636.301581
-3.7,7,1636.726231
-3.7,7,1637.131243
-4.6,6,1637.549597
3.5,15,1638.249264
8.0,20,1639.13502
-3.4,9,1639.657709
-4.6,6,1640.057761
0.5,15,1640.748999
-7.6,6,1641.126786
-6.1,6,1641.47429
20.9,36,1642.882893
-2.8,8,1643.364832
13.7,28,1644.477051
0.8,12,1645.100992
-3.4,9,1645.587057
-1.0,10,1646.117678
1.1,14,1646.816483
-4.6,6,1647.261261
2.6,14,1647.920692
-4.6,6,1648.353633
8.0,30,1650.555727
-4.6,6,1650.862319
-4.6,6,1651.30078
-3.7,7,1651.729271
-2.8,8,1652.24722
-4.0,10,1652.777982
-5.8,8,1653.244505
-4.6,6,1653.652079
-4.6,6,1654.074943
-4.9,9,1654.578235
-3.7,7,1655.055488
29.3,52,1656.887722
-4.6,6,1657.329657
-4.0,10,1657.888087
-4.6,16,1658.633433
6.5,20,1659.429024
5.6,19,1660.216098
5.3,22,1661.135219
-16.9,14,1661.82023
-4.6,6,1662.231628
0.8,12,1662.855649
-5.8,8,1663.339998
-0.7,12,1663.933153
-2.8,8,1664.458463
2.6,14,1665.166582
-1.9,9,1665.670425
0.5,15,1666.354967
-1.0,10,1666.858013
17.0,30,1668.06112
4.4,16,1668.782377
-4.6,6,1669.171247
3.8,17,1669.97394
0.8,12,1670.590038
-4.6,6,1671.006026
5.6,19,1671.801169
-6.4,9,1672.29901
-7.6,6,1672.704427
15.5,35,1674.004938
-7.0,15,1674.706233
-4.9,9,1675.211295
-6.1,6,1676.467607
-3.4,9,1676.921463
-4.0,15,1677.627387
-1.9,9,1678.13499
-6.1,6,1678.553235
7.4,21,1679.43697
-4.3,8,1679.938067
-3.7,7,1680.362837
0.8,12,1680.971733
1.7,13,1681.572485
-4.6,6,1682.011275
-4.6,6,1682.399269
9.8,22,1683.261401
0.5,15,1683.960876
1.1,19,1684.816924
2.9,21,1685.7013
-4.3,8,1686.189361
0.8,12,1686.809662
-4.6,6,1687.256768
-1.6,11,1687.80031
-0.1,21,1688.713172
-2.8,8,1689.207531
-0.7,12,1689.809514
8.0,25,1690.813528
-4.6,6,1691.245242
13.7,28,1692.264117
-4.3,8,1692.768771
-4.6,6,1693.193333
-1.0,10,1693.736921
20.0,35,1695.05291
-1.9,9,1695.548158
1.1,24,1696.565945
-4.6,6,1696.986256
4.4,16,1697.693298
11.0,25,1698.676872
-4.6,6,1699.083944
14.9,31,1700.279511
-8.8,8,1701.730083
-4.6,6,1702.029332
-4.6,6,1702.460331
-3.7,7,1702.936297
-1.9,9,1703.425478
-4.6,6,1703.866199
-6.7,7,1704.327395
-4.6,6,1704.749369
2.3,17,1705.532615
0.8,12,1706.136336
-5.8,8,1706.630264
-1.0,10,1707.170195
-2.8,23,1708.131697
-1.0,10,1708.642578
-1.3,13,1709.280759
6.2,18,1710.070716
7.7,23,1711.058696
-3.7,7,1711.485938
8.9,21,1712.389087
-3.4,9,1712.890438
-6.1,6,1713.334069
-4.6,6,1713.739874
-2.5,10,1714.282776
7.1,24,1715.296656
-7.6,11,1715.911975
-2.8,8,1716.395674
-1.0,25,1717.408508
-4.6,6,1717.831989
0.8,12,1718.429599
11.6,24,1719.446015
7.7,23,1720.451564
-4.6,6,1720.863149
3.2,18,1721.641975
-0.7,12,1722.245396
23.0,40,1723.749006
-7.6,6,1724.156594
5.9,21,1725.064086
12.2,28,1726.160695
-4.3,8,1727.511109
-4.6,6,1727.796648
-4.6,6,1728.207052
18.8,32,1729.392876
-1.9,9,1729.883102
-4.9,9,1730.39183
13.7,28,1731.506654
-4.9,9,1732.009353
-4.3,13,1732.651851
0.8,12,1733.239193
17.9,41,1734.766643
-2.8,8,1735.25154
4.7,28,1736.380983
-3.4,9,1736.877909
-3.1,11,1737.448511
8.0,20,1738.281415
-1.6,21,1739.173203
-6.7,7,1739.600336
5.9,31,1740.808905
-5.2,12,1741.407548
0.2,13,1742.00896
-4.6,6,1742.429968
-4.6,6,1742.873161
12.5,25,1743.836853
-4.3,8,1744.324061
10.4,26,1745.292684
7.4,21,1746.152899
-4.6,6,1746.576367
50.6,84,1749.363295
-4.3,8,1750.856318
2.0,15,1751.500328
-1.9,9,1752.007315
-5.5,15,1752.707975
-1.0,10,1753.211443
-0.7,12,1753.816617
-1.9,9,1754.319919
-1.9,9,1754.823183
-4.6,6,1755.244501
1.7,13,1755.924689
21.2,43,1757.543116
2.0,20,1758.386636
-6.1,6,1758.789494
-0.1,11,1759.370414
0.8,12,1759.975021
2.9,16,1760.679097
0.8,17,1761.402165
-5.5,10,1761.943998
9.5,25,1762.970471
-6.1,6,1763.415447
4.4,16,1764.172175
-4.6,6,1764.579168
8.9,21,1765.487594
-2.8,8,1765.959006
-4.6,6,1766.38404
-4.6,6,1766.844571
1.1,14,1767.491531
-4.6,6,1767.933511
-4.6,6,1768.356162
0.8,12,1769.002606
6.2,18,1769.770333
-1.9,9,1770.300272
-1.6,11,1770.885344
-4.3,8,1771.404985
5.6,19,1772.194084
-3.7,7,1772.603896
2.3,17,1773.40507
1.7,13,1774.033548
-4.6,6,1774.453903
0.8,17,1775.235843
-6.1,6,1775.65942
-4.6,6,1776.091538
-4.6,6,1776.463704
-11.5,10,1777.849136
-6.1,6,1778.246038
-6.1,6,1778.686332
-2.8,8,1779.207804
-0.7,12,1779.775129
9.8,22,1780.699218
-4.6,6,1781.159578
-4.9,9,1781.679526
-1.9,9,1782.186068
-6.1,6,1782.609277
14.3,27,1783.62107
-4.6,6,1784.025293
-4.6,6,1784.451096
-4.6,6,1784.898452
2.6,14,1785.515258
-2.5,10,1786.01884
-2.2,17,1786.818384
16.1,29,1787.952826
-1.9,9,1788.446119
-4.6,6,1788.889283
-1.9,9,1789.43038
1.7,13,1790.036283
-4.6,6,1790.471766
1.7,18,1791.244539
-4.3,8,1791.748792
-7.6,6,1792.149339
-4.6,6,1792.54889
0.8,12,1793.168921
0.8,12,1793.746277
1.7,13,1794.354754
1.7,13,1794.96183
-2.8,8,1795.480452
-3.4,9,1795.985277
0.8,12,1796.559668
0.8,12,1797.163377
0.5,15,1797.869974
12.5,25,1798.890969
-2.8,8,1799.376781
0.8,12,1799.975611
-4.6,6,1800.382731
-4.6,6,1800.781098
35.0,60,1803.919436
6.2,18,1804.623066
6.8,22,1805.505497
-4.6,6,1805.952525
-4.6,6,1806.374058
0.2,13,1807.012769
-4.6,6,1807.415285
-3.4,9,1807.91686
3.5,15,1808.635501
-2.5,10,1809.127037
-4.6,6,1809.526395
-4.6,6,1809.949927
2.6,14,1810.630414
20.9,36,1812.031948
15.5,35,1813.357613
-4.6,6,1813.822905
18.2,38,1815.259278
32.6,54,1817.153033
-6.1,6,1817.568143
-4.6,6,1818.030472
0.2,13,1818.679632
5.3,22,1819.551099
-1.0,10,1820.074182
0.5,15,1820.77861
-12.7,7,1821.188564
-4.6,6,1821.59568
-4.6,6,1822.022103
-0.7,12,1822.594646
2.9,16,1823.320019
-4.6,6,1823.72195
-4.6,6,1824.099542
-3.7,7,1824.508654
0.8,12,1825.118456
0.2,18,1825.914285
-6.1,6,1826.354609
2.6,14,1827.046756
-6.1,6,1827.47238
-4.6,6,1827.934527
-5.2,12,1829.569294
4.7,18,1830.278914
-6.1,6,1830.664235
11.6,34,1831.965393
-0.1,11,1832.571714
-6.1,6,1832.985492
-2.8,8,1833.48303
-4.6,6,1833.867889
-4.6,6,1834.285258
-4.6,6,1834.688014
-7.6,6,1835.091945
-0.1,11,1835.718388
-4.6,6,1836.108203
-4.6,6,1836.547991
-5.8,8,1836.993387
9.8,22,1837.905583
6.5,25,1838.929017
3.8,17,1839.712962
5.3,27,1840.818365
0.2,13,1841.419898
-1.3,13,1842.029518
1.7,13,1842.63385
13.4,26,1843.723838
-3.4,9,1844.224149
-6.1,6,1844.664872
-2.5,10,1845.245628
-6.1,6,1845.64683
6.5,20,1846.533613
2.6,14,1847.232967
-4.3,8,1847.732633
-4.6,6,1848.199485
-6.1,6,1848.626601
-1.9,9,1849.163111
-7.6,6,1849.565543
-2.8,8,1850.046383
12.5,25,1851.056577
2.0,15,1851.76008
3.5,15,1852.483516
-1.9,9,1852.985882
-4.6,6,1853.434694
5.6,19,1854.273012
8.9,21,1856.244525
7.1,19,1856.996041
4.7,18,1857.797336
-6.1,6,1858.184335
-1.9,9,1858.70282
-2.8,8,1859.185316
7.7,28,1860.329501
3.5,15,1861.013305
4.4,16,1861.717782
0.5,15,1862.41837
-1.9,9,1862.951119
6.2,18,1863.756505
24.2,43,1865.340596
0.8,12,1865.958512
-12.1,6,1866.401662
-1.0,10,1866.955179
-6.1,6,1867.378764
-1.3,13,1868.078483
-3.4,9,1868.564083
-3.4,9,1869.060913
-4.6,6,1869.466942
-4.6,6,1869.888834
-4.6,6,1870.336964
-4.6,6,1870.767695
-2.2,12,1871.381743
-7.6,6,1871.780886
-4.6,6,1872.18529
-4.6,6,1872.607538
7.7,23,1873.601353
-0.4,14,1874.228099
-4.6,6,1874.624018
3.5,15,1875.307652
-2.2,12,1875.929242
-6.1,6,1876.352244
-1.0,10,1876.916393
5.3,17,1877.713929
0.8,12,1878.336305
8.3,22,1879.239932
-0.1,11,1879.824932
4.7,18,1880.661201
7.1,24,1882.725523
-1.3,13,1883.273053
18.2,43,1884.854195
-7.6,6,1885.255232
-0.1,11,1885.877729
-2.8,8,1886.363087
-2.8,8,1886.859144
-7.6,21,1887.786787
-1.9,9,1888.269469
14.0,30,1889.404565
-6.1,6,1889.848835
-4.6,6,1890.237382
-4.6,6,1890.655393
0.8,12,1891.29817
-9.1,6,1891.716366
53.0,95,1895.037373
-1.9,9,1895.531017
8.0,25,1896.546228
0.8,12,1897.132329
-7.6,6,1897.532538
-4.6,6,1897.963325
3.5,15,1898.674418
-2.8,18,1899.458495
-4.3,13,1900.060306
2.6,14,1900.757684
11.3,27,1901.79168
-4.0,10,1902.31027
-4.6,6,1902.686325
4.4,16,1903.417033
5.6,19,1904.238843
-4.6,6,1904.62222
-4.6,6,1905.048731
7.1,19,1905.843254
-2.2,12,1907.427092
12.8,27,1908.495036
9.8,22,1909.380182
-6.4,9,1909.884322
15.2,28,1910.995071
14.9,31,1912.191444
0.8,22,1913.116601
0.5,15,1913.807188
-7.6,6,1914.229755
-4.6,6,1914.625204
2.9,16,1915.352593
-2.8,8,1915.81709
-1.3,13,1916.422123
2.6,14,1917.123504
-9.1,6,1917.526248
12.5,25,1918.546806
1.1,19,1919.353227
-0.1,11,1919.950917
-0.7,12,1920.565707
-6.1,6,1920.993823
-4.6,6,1921.372906
-6.1,6,1921.781873
5.6,29,1922.900902
-4.6,6,1923.324368
-5.2,17,1924.087767
6.8,27,1925.175999
-3.4,9,1925.680329
0.2,13,1926.278894
2.0,15,1926.990151
-0.7,12,1927.607352
-4.6,6,1928.030006
-5.2,7,1928.494289
0.8,12,1929.10079
-7.6,6,1929.499075
2.0,15,1930.224011
6.2,23,1932.065447
2.3,17,1932.724856
6.5,30,1933.92625
1.4,16,1934.647456
11.0,25,1935.655884
-4.0,10,1936.164589
-4.6,6,1936.580892
-4.6,6,1936.985602
-4.6,6,1937.37253
2.6,14,1938.074216
-4.6,6,1938.481565
-9.4,9,1938.988067
-6.1,6,1939.400116
11.0,25,1940.403566
-8.2,7,1940.807534
-3.1,16,1941.540263
34.7,58,1943.556886
0.5,15,1944.260571
-2.5,10,1944.767719
-2.8,8,1945.263218
-4.6,6,1945.707075
5.3,17,1946.450954
-4.6,6,1946.850365
21.5,35,1948.186416
7.1,24,1949.173195
21.8,37,1950.593329
2.6,14,1951.280558
-6.1,6,1951.682925
11.6,24,1952.703789
3.5,15,1953.393797
-2.8,8,1953.897371
0.8,12,1954.504963
2.0,15,1955.223939
-2.8,8,1956.489827
0.8,12,1957.128251
9.8,22,1958.035257
10.4,26,1959.060194
-4.6,6,1959.484939
-1.3,18,1960.271334
-2.5,10,1960.773316
-6.1,6,1961.211684
-1.0,10,1961.76645
-3.7,7,1962.192762
10.1,24,1963.188737
-4.3,8,1963.692393
-1.9,9,1964.176296
4.1,19,1964.976529
-3.7,7,1965.381323
-7.6,6,1965.787724
-1.9,9,1966.296507
0.8,12,1966.920259
-4.3,8,1967.420309
-4.6,6,1967.80861
-2.8,8,1968.30317
25.1,54,1970.225649
-1.9,9,1970.725589
29.3,52,1972.54353
4.4,16,1973.255204
-5.2,12,1973.860164
1.4,21,1974.778931
-4.6,11,1975.359089
6.2,18,1976.167202
-7.6,6,1976.57794
-3.4,9,1977.072592
-4.6,6,1977.495846
-4.6,6,1977.917188
16.4,31,1979.091056
-1.9,9,1979.603481
-3.4,9,1980.105474
-2.8,8,1981.666717
-3.4,9,1982.138669
7.4,21,1983.04497
-4.6,6,1983.471202
-3.7,12,1984.055854
-4.0,10,1984.574809
28.7,43,1986.183032
-1.9,9,1986.66797
-4.6,6,1987.084793
-4.6,6,1987.478712
1.7,13,1988.085351
-6.1,6,1988.483876
-3.4,9,1988.999296
-1.0,10,1989.538599
-4.6,6,1989.940269
-6.1,6,1990.345726
2.3,22,1991.242638
-1.9,9,1991.763808
2.3,17,1992.450371
-7.6,11,1993.06439
0.8,12,1993.647937
-4.3,8,1994.15116
1.4,16,1994.862995
-4.6,6,1995.268618
-1.0,10,1995.779838
-4.6,6,1996.18197
-1.6,11,1996.7836
14.3,27,1997.888143
0.8,12,1998.477004
12.5,25,1999.503445
0.8,12,2000.089813
-1.0,10,2000.597165
-1.6,11,2001.120895
-4.6,6,2001.503755
-4.6,6,2001.920992
-1.6,11,2002.449727
-4.6,6,2002.851458
-2.8,8,2003.348186
-1.9,9,2003.852349
-1.9,9,2004.377877
0.8,12,2004.96781
15.2,38,2006.374311
-4.3,8,2007.775637
-4.6,6,2008.15328
-4.6,6,2008.600939
-0.7,12,2009.242193
-4.6,6,2009.635818
-6.1,6,2010.030062
-4.6,6,2010.446344
27.8,42,2012.03642
-1.9,9,2012.559454
-4.6,6,2012.968055
1.1,14,2013.556328
-2.8,8,2013.975701
-4.6,6,2014.4228
-4.6,6,2014.82568
4.4,16,2015.573015
6.2,18,2016.371628
-4.6,6,2016.823368
2.6,14,2017.480663
8.9,21,2018.389498
-4.6,6,2018.829417
-4.6,6,2019.255146
16.1,29,2020.406151
-2.8,8,2020.911176
-4.6,6,2021.337579
-4.6,6,2021.781699
1.1,14,2022.429941
-4.3,8,2022.926223
4.4,16,2023.667359
9.8,22,2024.557811
-2.8,8,2025.056692
2.0,15,2025.755476
0.8,12,2026.353959
0.8,12,2026.976452
-4.6,6,2027.401721
2.6,14,2028.070546
-6.7,7,2028.492923
-4.3,8,2028.992165
-8.8,8,2029.491325
11.6,24,2030.479829
-2.8,8,2030.984217
-4.6,6,2031.371682
19.7,33,2032.610741
-1.9,9,2033.133569
-1.0,10,2033.62471
-11.5,10,2035.012374
3.5,15,2035.745146
-1.6,16,2036.44562
-0.1,11,2036.976422
-4.6,6,2037.369691
-2.8,8,2037.891367
-4.6,6,2038.324096
-2.8,8,2038.788772
-6.1,6,2039.178864
-1.0,10,2039.690588
-1.9,9,2040.192143
-1.9,9,2040.713869
13.7,28,2041.805329
-2.8,8,2042.31319
-5.2,7,2042.739162
-4.6,6,2043.12934
-1.9,9,2043.628256
18.2,33,2044.966421
-4.6,6,2045.392312
-4.3,13,2046.063137
-4.6,6,2046.469257
-4.6,6,2046.88615
16.1,39,2048.372806
-2.8,8,2048.871026
14.0,35,2050.216061
-4.6,6,2050.636507
-3.7,7,2051.113028
-0.1,11,2051.715958
5.0,20,2052.501905
-4.6,6,2052.900656
-6.7,7,2053.316342
3.5,15,2054.018236
3.5,15,2054.735715
3.5,15,2055.423132
8.9,21,2056.332137
2.6,14,2057.025815
-1.0,10,2057.538546
7.1,19,2058.363254
-0.1,11,2058.947562
1.7,13,2059.55802
-4.6,6,2061.142418
-4.3,8,2061.540846
3.5,15,2062.241175
1.7,13,2062.867083
-6.1,6,2063.26858
-2.8,8,2063.744632
-6.1,6,2064.158283
4.4,16,2064.859329
-4.3,8,2065.381934
5.3,17,2066.159502
-4.6,6,2066.560304
-4.6,6,2066.982851
16.4,31,2068.171205
-3.7,7,2068.594444
-2.8,8,2069.082029
-12.1,6,2069.482099
9.8,22,2070.412884
-6.1,6,2070.835146
12.5,25,2071.899848
-3.7,7,2072.325847
-4.9,9,2072.841484
-6.1,6,2073.254484
-4.6,6,2073.625932
17.3,37,2075.043328
-3.7,12,2075.653487
3.5,15,2076.353387
8.6,24,2077.372372
-4.6,6,2077.79943
16.4,31,2078.9729
-4.6,6,2079.400444
-1.9,9,2079.914222
2.0,15,2080.608036
2.6,14,2081.31834
-2.8,8,2081.818331
-4.3,8,2082.323637
20.9,36,2083.713128
-3.4,9,2084.22805
3.5,15,2084.91367
0.8,12,2085.513376
-4.6,6,2085.954845
-3.7,7,2087.441214
40.7,58,2089.442489
0.8,12,2090.066318
-2.8,8,2090.550863
-1.9,9,2091.059551
-4.6,6,2091.464152
-2.2,12,2092.068631
-1.9,9,2092.592627
19.1,44,2094.196249
-2.8,8,2094.717681
-4.6,6,2095.108894
21.5,45,2096.79687
4.4,16,2097.509828
-1.9,9,2098.035153
-0.1,11,2098.619591
2.6,14,2099.318398
-1.9,9,2099.84512
0.8,12,2100.45955
-6.1,6,2100.840218
-4.6,6,2101.247109
-2.5,10,2101.754437
-5.8,8,2102.273254
-6.1,6,2102.700412
-7.6,6,2103.12061
-4.6,6,2103.524754
-4.3,8,2104.008987
-5.2,7,2104.406959
8.3,22,2105.320822
13.1,29,2106.446519
20.9,41,2107.940811
-1.9,9,2108.469998
-1.9,9,2108.958352
3.8,17,2109.696285
-3.7,7,2110.185323
-4.6,6,2110.606764
2.6,14,2111.273423
-4.6,6,2112.659694
-4.6,6,2112.980261
2.0,15,2113.686387
-0.1,11,2114.310269
-2.8,8,2114.795027
-1.9,9,2115.318554
-4.6,6,2115.725949
15.2,28,2116.821918
0.8,12,2117.408392
-0.4,14,2118.108294
-4.6,6,2118.530132
5.3,17,2119.31367
2.0,15,2120.041256
11.9,26,2121.140339
4.7,18,2121.916192
3.2,18,2122.649993
1.7,13,2123.23968
-4.6,6,2123.664314
-2.2,12,2124.264982
-0.1,11,2124.846701
2.9,16,2125.570562
-3.7,7,2126.066716
-4.6,6,2126.489393
-3.7,7,2126.955564
-3.4,9,2127.487083
2.6,14,2128.166632
42.5,60,2130.308017
-4.6,6,2130.685781
-4.6,6,2131.106647
-2.8,8,2131.589711
12.5,25,2132.589217
-4.6,6,2132.991353
-1.9,9,2133.490305
3.2,18,2134.297567
-4.6,6,2134.704705
-1.0,10,2135.236866
-4.6,6,2135.685239
-2.5,10,2136.227585
-1.9,9,2136.739109
-2.8,8,2137.224122
-4.6,6,2137.651696
-2.5,10,2138.892642
2.0,15,2139.561686
-9.1,6,2139.986641
5.3,17,2140.749779
3.5,15,2141.455946
-6.1,6,2141.86097
3.2,18,2142.684084
-1.0,10,2143.276527
3.2,18,2144.072022
-0.1,11,2144.667404
-4.6,6,2145.078014
3.5,15,2145.795729
-1.9,9,2146.299457
-4.9,9,2146.801517
-1.0,10,2147.326019
-6.1,6,2147.738018
4.4,16,2148.418974
-4.6,6,2148.827311
17.6,34,2150.073473
1.1,14,2150.749585
-5.8,13,2151.379718
13.4,26,2152.380992
9.2,23,2153.305816
1.7,13,2153.908483
-7.6,6,2154.327842
-4.6,6,2154.75085
1.7,13,2155.342236
-8.2,12,2155.925951
-4.9,9,2156.415944
-7.6,6,2156.85654
-6.1,6,2157.231818
-1.6,11,2157.842561
1.1,14,2158.528917
2.6,14,2159.227142
8.3,22,2160.154022
6.2,18,2160.948014
-2.2,12,2161.556483
12.5,25,2162.580266
-3.4,9,2163.065707
-1.9,9,2163.564344
-12.1,11,2164.799584
-2.8,8,2165.278321
-4.6,6,2165.691311
-3.7,7,2166.17368
4.4,21,2167.082973
-4.6,6,2167.483543
-6.1,6,2167.899821
6.8,22,2168.804536
6.2,18,2169.586562
-6.1,6,2170.012003
2.0,15,2170.707476
-4.6,6,2171.110321
-6.1,6,2171.544102
2.6,14,2172.208743
2.0,15,2172.935944
-1.9,9,2173.436427
-4.6,6,2173.82785
-6.1,6,2174.24914
22.4,36,2175.640564
-4.6,6,2176.07972
-4.6,11,2176.665973
0.8,12,2177.268609
-4.6,6,2177.693198
-5.8,8,2178.146533
-4.6,6,2178.516696
-3.7,7,2178.977195
-4.6,6,2179.399203
-1.6,11,2179.986475
-2.5,10,2180.558518
6.2,18,2181.385214
-0.7,12,2181.972232
-4.6,6,2182.387965
-0.1,16,2183.09022
1.1,14,2183.791929
3.5,15,2184.481988
0.5,15,2185.176081
10.4,26,2186.182289
0.8,12,2186.778293
-6.1,6,2187.157333
13.4,26,2188.210554
2.0,15,2188.890382
-5.2,12,2189.498748
-4.6,11,2190.095801
-5.2,7,2191.362661
-4.6,6,2191.739568
0.2,18,2192.518538
-8.8,8,2193.020755
-1.6,11,2193.638097
-4.6,6,2194.066368
-5.2,7,2194.523252
-4.6,6,2194.944802
-3.1,11,2195.546524
11.3,32,2196.832627
-9.1,6,2197.248103
-5.2,7,2197.751727
14.3,27,2198.834258
-2.8,8,2199.338529
-0.1,11,2199.939996
-4.6,6,2200.344455
3.5,15,2201.043247
-6.1,6,2201.488831
-6.1,6,2201.931207
0.2,13,2202.571635
-1.9,9,2203.050524
-6.1,6,2203.49216
11.0,25,2204.465167
-6.1,6,2204.888201
8.0,20,2205.76736
-3.4,14,2206.466974
-0.1,11,2207.092154
-1.9,9,2207.586709
1.7,13,2208.209039
9.2,33,2209.485864
-6.1,6,2209.888312
16.4,31,2211.105343
1.7,13,2211.709326
8.6,24,2212.716635
6.2,18,2213.530465
-4.6,6,2213.958572
-4.6,6,2214.359719
23.3,37,2215.769568
-4.6,6,2216.176949
-6.1,6,2217.514376
-1.0,10,2217.963827
-4.6,6,2218.368624
3.5,15,2219.084466
-1.9,9,2219.600238
45.2,63,2221.822611
4.1,19,2222.622325
-3.4,9,2223.111377
8.9,21,2224.014765
4.1,19,2224.828037
-1.0,10,2225.335629
-5.5,15,2226.039553
-1.0,10,2226.580937
22.4,36,2227.977148
-7.6,6,2228.386959
-0.1,11,2228.969218
-1.3,13,2229.569201
-4.3,8,2230.086944
-6.1,6,2230.50979
11.0,25,2231.581546
-7.6,6,2232.00212
15.5,30,2233.187125
-3.7,7,2233.59195
-4.3,18,2234.391793
-5.8,8,2234.889569
-0.1,11,2235.509235
-4.6,6,2235.931311
-6.1,6,2236.348452
10.7,23,2237.325256
-4.3,8,2237.808393
-6.1,6,2238.220062
-4.3,8,2238.710736
-2.2,12,2239.332762
-0.7,12,2239.949638
7.1,19,2240.745702
9.8,22,2242.502503
-7.6,6,2242.794082
2.6,14,2243.39635
-1.9,9,2243.888249
-3.7,17,2244.706839
-0.7,12,2245.311973
33.2,48,2247.000084
0.2,13,2247.612778
17.9,36,2248.91805
-1.9,9,2249.433786
-6.1,6,2249.842749
23.6,44,2251.452519
8.0,25,2252.43768
-4.6,6,2252.876354
-0.1,11,2253.444042
-1.9,9,2253.961144
0.2,13,2254.551412
-4.6,6,2254.969774
-1.9,9,2255.479399
-4.6,6,2255.923871
27.5,55,2257.888504
-1.9,9,2258.40477
-2.5,10,2258.934631
6.2,18,2259.733283
-6.1,6,2260.172245
-4.3,8,2260.625877
-4.6,6,2261.029564
2.0,15,2261.731941
-1.0,10,2262.266027
34.1,59,2264.348592
0.8,12,2264.965444
-4.6,6,2266.07099
16.1,34,2267.26439
2.0,15,2267.973157
-7.6,6,2268.398052
1.1,14,2269.087196
4.4,16,2269.793063
-1.9,9,2270.304874
-7.6,6,2270.727301
2.0,15,2271.411414
-3.4,9,2271.936666
3.2,18,2272.71399
14.3,32,2273.851548
-4.6,6,2274.252917
7.4,21,2275.146804
-7.6,6,2275.543957
8.6,24,2276.548462
-6.1,6,2277.002222
-3.7,12,2277.569577
6.2,18,2278.374845
-4.6,6,2278.785319
24.2,63,2280.993896
-6.1,6,2281.382828
-4.6,6,2281.818935
-6.1,6,2282.204529
-3.7,12,2282.796436
1.4,16,2283.534832
-3.7,22,2284.448154
7.7,28,2285.55318
5.6,19,2286.335755
23.9,61,2289.406822
-0.7,12,2289.958928
-1.9,9,2290.464429
-1.0,15,2291.174795
1.1,24,2292.179116
2.0,15,2292.882716
-4.6,6,2293.291742
-2.8,8,2293.799823
8.9,21,2294.72387
-4.6,6,2295.171409
-2.8,8,2295.641035
-6.1,6,2296.062263
-3.7,7,2296.515281
0.8,12,2297.120462
4.1,19,2297.922378
15.2,28,2299.034647
2.9,16,2299.748755
-3.1,11,2300.349688
-4.3,8,2300.844729
-4.0,10,2301.373622
-2.8,8,2301.862831
2.6,19,2302.666797
-4.6,6,2303.066766
7.1,24,2304.081945
4.1,19,2304.885118
25.1,44,2306.518136
16.4,31,2307.74057
-4.6,6,2308.118793
20.6,44,2309.729482
2.0,20,2310.577777
22.7,38,2311.945167
2.6,14,2313.217011
0.8,12,2313.781727
-4.0,10,2314.284437
30.5,60,2316.376795
17.3,32,2317.591469
24.5,40,2319.098902
-7.6,6,2319.51849
3.8,17,2320.30327
3.8,17,2321.036949
2.0,15,2321.746439
-6.1,6,2322.15118
-0.1,11,2322.733577
20.6,39,2324.149622
-3.7,7,2324.579612
8.0,20,2325.386824
3.5,15,2326.064781
-0.7,12,2326.674782
6.2,18,2327.481045
-6.1,6,2327.919569
-6.4,9,2328.423127
29.0,55,2330.423347
15.8,32,2331.6518
-7.0,10,2332.164981
-2.5,10,2332.693845
12.2,33,2333.959048
-7.6,6,2334.388476
-7.0,10,2335.839282
17.6,39,2337.216301
8.0,25,2338.298059
-4.6,6,2338.739457
25.4,51,2340.520972
0.5,35,2341.846421
-4.3,8,2342.35819
-3.4,9,2342.852031
-1.9,9,2343.361964
-6.1,6,2343.747971
43.4,66,2346.062894
-3.1,11,2346.570669
8.0,20,2347.385124
-6.1,6,2347.805193
9.2,23,2348.783113
14.9,31,2349.997576
0.8,12,2350.609
8.9,21,2351.493129
4.7,18,2352.296459
-4.6,6,2352.716825
24.8,42,2354.215122
8.0,25,2355.227372
-10.3,18,2356.024597
-0.4,19,2356.84382
-1.9,9,2358.227088
-0.1,11,2358.75706
-4.6,6,2359.200279
-4.6,6,2359.669324
-4.3,8,2360.15822
-6.1,6,2360.610859
23.0,45,2362.284766
-6.1,6,2362.665997
-4.0,10,2363.205835
-4.6,6,2363.625757
14.6,34,2364.910332
-4.6,6,2365.347288
-3.7,7,2365.820213
-4.6,6,2366.225272
-4.6,6,2366.689317
-1.9,9,2367.206649
12.5,25,2368.233915
13.1,29,2369.340573
-2.8,8,2369.822972
-6.1,6,2370.224217
26.0,40,2371.732565
-4.6,6,2372.132684
-1.9,9,2372.63407
-1.9,9,2373.1713
-6.1,6,2373.542276
10.1,24,2374.542877
5.0,30,2375.755561
-4.6,6,2376.183506
0.8,17,2376.956276
-4.3,8,2377.458667
-8.8,13,2378.083307
-3.4,9,2378.587562
-4.6,6,2379.033752
-5.8,8,2379.48354
0.8,17,2380.292864
2.3,17,2381.092942
-3.1,11,2381.697516
-6.1,6,2382.138497
6.2,23,2383.089953
-4.6,6,2384.400898
-3.7,7,2384.791255
6.2,28,2385.897299
4.4,16,2386.602482
7.1,19,2387.403188
2.6,14,2388.123448
-5.2,7,2388.605202
-6.1,6,2389.029365
-4.6,6,2389.454152
-4.6,6,2389.876288
-0.4,14,2390.539545
-6.1,6,2390.962591
1.1,14,2391.63251
5.9,21,2392.545893
-2.8,8,2393.043355
-4.6,6,2393.465503
3.5,15,2394.152769
-3.7,7,2394.563186
-6.1,6,2394.98544
